food_name,base_calories,base_protein,base_carbs,base_fat,base_fiber,base_sodium,base_sugar,base_cholesterol,serving_size_g
apple_pie,250,3,35,11,2,150,15,10,125
baby_back_ribs,320,28,0,24,0,680,0,95,150
baklava,300,5,30,18,1.5,250,18,20,50
beef_carpaccio,275,26,1,19,0,420,0,85,100
beef_tartare,280,27,2,19,0,450,0,90,100
beet_salad,95,4,18,1,3.5,320,10,0,200
beignets,210,3,24,12,1,280,12,15,50
bibimbap,280,8,32,13,3,680,2,25,300
bread_pudding,280,6,32,14,1.5,350,18,65,120
breakfast_burrito,360,14,32,20,4,920,2,180,250
bruschetta,90,3,12,4,1.5,280,1,0,80
caesar_salad,120,8,6,8,1.5,420,1,20,150
cannoli,240,4,28,12,0.5,180,20,30,50
caprese_salad,150,8,6,11,2,420,2,18,200
carrot_cake,280,3,35,14,2,320,22,45,80
ceviche,120,16,6,4,1,520,1,70,150
cheese_plate,350,22,8,28,0,850,2,95,150
cheesecake,320,5,28,22,0,350,20,85,100
chicken_curry,240,18,12,13,2,680,2,60,300
chicken_quesadilla,380,20,28,22,3,820,1,75,250
chicken_wings,260,20,2,20,0,540,0,85,150
chocolate_cake,300,4,35,16,2,280,25,50,100
chocolate_mousse,250,4,20,18,1,150,15,85,100
churros,220,2,22,14,1,280,8,20,50
clam_chowder,180,8,16,10,1,680,2,25,300
club_sandwich,360,22,28,18,2,820,3,60,250
crab_cakes,220,14,14,12,1,520,1,95,100
creme_brulee,280,3,24,20,0,180,20,185,100
croque_madame,420,18,28,26,1,950,2,85,250
cup_cakes,240,2,28,13,0.5,280,18,40,50
deviled_eggs,155,12,1.5,12,0,320,0.5,185,50
donuts,280,3,32,15,1,280,15,20,60
dumplings,180,8,22,8,1.5,480,1,35,100
edamame,95,11,8,4,3.5,280,1,0,150
eggs_benedict,340,16,18,24,0,650,1,250,220
escargots,120,16,2,6,0,420,0,85,100
fall_fruit,120,1,28,0.5,3.5,2,20,0,200
falafel,170,6,16,9,4,380,1,0,60
farfalle,350,12,72,2,4,2,2,0,100
filet_mignon,320,26,0,26,0,70,0,85,200
fish_and_chips,380,18,35,20,2,680,0,60,300
fish_tacos,280,20,24,12,2,620,2,45,250
foie_gras,460,8,2,48,0,320,0,250,100
french_fries,320,4,38,17,3.5,280,0,0,150
french_onion_soup,220,8,16,14,2,1200,3,25,300
french_toast,280,10,32,14,1.5,450,10,210,150
fried_calamari,280,20,18,16,1,680,0,250,200
fried_chicken,320,22,18,20,0,720,0,95,200
fried_rice,320,8,42,14,2,820,2,45,300
fried_shrimp,280,24,18,14,1,720,0,180,200
fried_udon,380,12,48,16,2,920,2,20,300
frozen_yogurt,150,4,28,2,0,80,24,15,150
fruit_salad,95,1.5,24,0.5,2.5,30,18,0,200
full_breakfast,580,28,42,32,5,1280,8,350,500
gazpacho,80,2,14,2,2,520,8,0,300
gelato,220,4,26,12,0,120,22,80,100
goulash,280,22,18,16,2,680,2,60,300
greek_salad,180,8,12,14,3,580,4,25,300
green_beans,45,2,10,0.2,2.5,60,2,0,150
green_salad,45,2,8,0.5,2,80,1,0,150
grilled_cheese_sandwich,380,16,32,22,1.5,920,2,60,200
grilled_salmon,280,32,0,16,0,420,0,95,250
grits,180,4,34,2,2,480,0,0,200
guacamole,160,2,8,15,7,280,1,0,100
gyoza,200,8,20,10,1.5,420,1,35,120
gyro,380,28,34,16,2,820,2,95,250
halibut,220,30,0,10,0,280,0,85,200
ham_and_cheese_croissant,380,14,32,22,1,820,2,65,120
hamburger,350,20,28,18,1.5,720,2,70,200
hand_pulled_noodles,350,12,72,2,2,520,1,0,300
hangi,320,24,0,26,0,620,0,90,250
hard_shell_tacos,320,16,28,16,3,720,2,45,200
hashbrown,200,2,24,12,2,520,0,0,100
hot_and_sour_soup,120,8,12,5,2,820,2,20,300
hot_dog,320,14,28,20,1,820,2,45,150
huevos_rancheros,380,14,32,22,4,920,2,180,300
hummus,140,4,14,8,3,320,1,0,100
hungarian_goulash,280,22,18,16,2,680,2,60,300
ice_cream,220,4,26,12,0,120,22,80,100
indian_flatbread,280,8,42,8,2,520,1,0,150
indian_rice_bowl,320,10,48,8,3,680,2,0,350
italian_meatballs,280,20,12,18,1,620,2,85,150
italian_seafood_pasta,380,24,42,12,3,720,2,95,350
jacket_potato,160,4,36,0.2,2.5,80,1,0,300
jalapeno_poppers,240,8,18,16,1,620,1,45,100
jell_o,85,2,20,0,0,40,18,0,100
jerk_chicken,280,32,8,14,1,720,2,95,250
joumou_soup,220,8,24,12,3,680,4,20,400
kalamata_olives,150,1,8,14,2,1200,0,0,100
karaage,280,24,12,16,0,620,0,95,200
kebab,320,28,12,18,2,620,2,85,250
kedgeree,320,18,38,10,2,720,2,45,350
